"","X","text","score","polarity"
"372",372,"donald trump tried overthrow results presidential election inspired deadly riot capitol desperate attempt keep power announced running president npr reported time defund npr",-3,"Negatif"
"373",373," made announcement thursday twitter running office president united states ",0,"Netral"
"376",376," gops doubletrouble trump trap ",-1,"Negatif"
"377",377,"musks apparent endorsement mr desantis comes rival republican donald trump fire dining known white supremacist ",0,"Netral"
"379",379,"elon musk announced intention support republican governor florida ron desandis donald trump runs president united states elections",1,"Positif"
"380",380,"kanye west asking donald trump running mate presidential election dining white supremacist true sentence can write now totally ridiculous",0,"Netral"
"381",381," whats going happen candidate trump indicted ",0,"Netral"
"384",384," just know president donald trump president invasion ukraine",0,"Netral"
"385",385,"donald trump dined antisemite holocaust denier trump denied aware views failed denounce will mike flood condemn trump dining antisemites flood support trump nomination deserve answers",-3,"Negatif"
"386",386," according sources person donald trumps senior advisors possible campaign manager ",0,"Netral"
"387",387," understand long knife djt donald trump politician deserves judged successes failures wants win start trying appeal moderates clearly isnt ",3,"Positif"
"388",388," milo yiannopoulos kanye wests new right hand man taking donald trump president reportedly cahoots breitbart writer banned twitter troll south china morning post dangerous ",1,"Positif"
"389",389,"just wait donald trump president vp eliminate bs slush fund called nasa wipe public school sham goodbye irs",-1,"Negatif"
"390",390,"nick fuentes kanye west dinner donald trump mass shooting targeted lgbtq community republican party heading election",0,"Netral"
"391",391,"president donald trump waves flag ",0,"Netral"
"393",393,"donald trump throws kanye west bus disastrous dinner white supremacist donald trump kanye west unhinged right wing loons trying pretend theyre running president ",-1,"Negatif"
"395",395," hoping dad will return twitter welcomed return new ownership wise voices florida saint augustine love see return president donald trump vp governor ron desantis ",1,"Positif"
"397",397," doused gasoline lit match political commentator hasan piker reacts kanye west announcing presidency second person donald trump essentiallysports ",0,"Netral"
"398",398,"new blog today trail donald trump announces third bid white house joe biden mulls reelection bid impressive showing party midterms check now ",1,"Positif"
"399",399,"inside ivanka trump jared kushners gilded florida paradisefar donald trump like rival mob kushner gang come running back golden cash cow daddy don back white house just business",-1,"Negatif"
"400",400," mega maga elected president donald trump ",0,"Netral"
"401",401," official republican partys top presidential candidates donald trump ron desantis criminal investigation",0,"Netral"
"402",402," donald trump ",0,"Netral"
"403",403,"thats funny come just election donald trump announced hes running president ",-1,"Negatif"
"404",404,"donald trump claims made plan ",0,"Netral"
"405",405," national republican party box dont nominate donald trump guy will run unaffiliated campaign theyll lose white house anyway ",-1,"Negatif"
"406",406,"donald trump million votes million registered voters usa single registered voter went voted million votes left biden million votes trump ",0,"Netral"
"407",407," lost house importantly donald trump gave republicans supreme court next years thats worth presidency senate will wonderful trump returns wdesantis cheating happen thank trump scotus",0,"Netral"
"409",409," gave answer will supporting donald racist trump ",1,"Positif"
"410",410,"west launched campaign second white house following truncated attempt marked late announcement resulting ballot states receiving votes total ",0,"Netral"
"411",411," continue living rock ",0,"Netral"
"412",412,"opinion whats going happen candidate trump indicted ",0,"Netral"
"413",413," matter love donald trump party fractured recognize unelectable lose ",1,"Positif"
"414",414," top priorities courtesy legal voters citizens currently sovereign nation invasion america first america great president donald trump ",0,"Netral"
"415",415," im donald trumps secret illigitimate child lady liberty will voting brandon ",0,"Netral"
"416",416," donald trump made deal saudi quit producing oil drive price noticed price going big oil helping republicans win election want tax breaks permanent guys will just text rest ",1,"Positif"
"417",417,"tensions rose rapper asked trump join ticket vice president rejected donald trump dines farright activist nick fuentes rapper maralago washington post ",-1,"Negatif"
"418",418," absolutely america world needs donald trump hes leader can will fix mess bidens regimedesantiss time will president gop unitea divided gop win communist democrats",-1,"Negatif"
"419",419," happily endorses donald trump president wonder jewish constituents feel ",2,"Positif"
"420",420," takes swipe donald trump first presidential campaign video ",-1,"Negatif"
"421",421," claimed heard david duke joe biden fair game criticize memory donald trump pres trump thank israel time moveon real conservative ron desantis president nikki haley vp",0,"Netral"
"422",422,"frontline built unique public record documentary format president trumps impact american life politics democracy previous battles special counsel department justice ",0,"Netral"
"423",423,"sure lets reinfect colossal narcissistic incompetency time ",0,"Netral"
"424",424,"kanye west announces presidential bidhes idiot ",0,"Netral"
"425",425,"donald trump betrayed government disgraceful traitor country guaranteed absolutely lose presidential election american people dont want betrayer traitor president ",0,"Netral"
"426",426," voted vote donald trump policythat damn simple maga promises made promises kept vote policy man party trump ",-1,"Negatif"
"428",428,"donald trump great team ",1,"Positif"
"429",429,"st big losergtdonald trump major tv networks change programming cnn fox news broadcast speech end trumps appearance maralago ballroom announcing presidential candidacy glamorous ",0,"Netral"
"431",431," will donald trump belongs ",0,"Netral"
"434",434,"donald supporter funny buy ebay",0,"Netral"
"435",435," can wait country back donald trump",0,"Netral"
"436",436,"elon musk says will back donald trump rival runs president mint ",-1,"Negatif"
"437",437,"reuters usa musk says will support desantis florida governor runs president political pundits doling high marks desantis seen potential challenger president donald trump field ",1,"Positif"
"438",438," donald trump hosted denier maralago estate visit kanye west week announcing run donald trump hosted holocaust denier nick fuentes rapper kanye west maralago estate ",0,"Netral"
"439",439," trying listening narrative fake news media donald trump beef kanye west governor desantis candace owens beef just medias last hail mary desperation election",-2,"Negatif"
"440",440,"elon musk officially endorsed ron desantis president stark reality begun setin donald trump going jail",0,"Netral"
"441",441," held responsible starting mitch mcconnell whats honest using failures just means attack donald trump supporters wrong suspect youre going wrong ",-4,"Negatif"
"442",442,"trump hosted holocaust denier maralago estate visit kanye west week announcing run cnn politics cnn president donald trump hosted white nationalist holocaust denier nick fuentes rapper kanye west mara ",0,"Netral"
"445",445,"andy vermaut shareselon musk back donald trumps rival presidential race billionaire elon musk back florida governor ron desantis republican party contested presidential elections thank ",0,"Netral"
"446",446,"donald trump feels real danger kanye west presidentialelections ",0,"Netral"
"447",447," wait mean donald trump will able rely vote ",0,"Netral"
"448",448,"baloney lake met wtrump mal cook election denial schemes trump actively plotting steal midterm elections next presidential trump scheming challenge elections dont way ",-1,"Negatif"
"450",450," baloney lake met wtrump mal cook election denial schemes trump actively plotting steal midterm elections next presidential trump scheming challenge elections dont way ",-1,"Negatif"
"451",451," crystal ball election denial part trumps election denial scheme trump actively plotting steal midterm elections next presidential trump scheming challenge elections dont way ",-1,"Negatif"
"452",452," allowed trump disrespect wide wo walking away defending peas pod weak eww kanye west says donald trump screamed dinner maralago telling will lose runs president ",-2,"Negatif"
"453",453," source familiar dinner conversation dinner grew heated announced run president thursday asked trump running mate trump began insulting yes exwife kim kardashian ",-1,"Negatif"
"454",454," greatest recovery plan americais return people presidentdonald trumpso shameful democrat machine man familyhope horizon ",-1,"Negatif"
"455",455," asked trump running mate ",0,"Netral"
"457",457," sure enjoy donald trump presidency time past im looking forward potential nikki haleykristie noem ticket elon musk says hed back trump rival ron desantis runs president ",1,"Positif"
"458",458,"talking next hour tweet thoughts now possible indictments ",0,"Netral"
"460",460," juncture tormented life trump will form alliance domestic foreign entity threatening democracy will help create fascist dictatorship trump will destroy repub party ",-3,"Negatif"
"461",461,"donald trump reveals presidential platform ",0,"Netral"
"462",462," presidential race new player special counsel investigating donald trump ",0,"Netral"
"463",463," donald trump won election enormous pressure turned america prosperous country world known won landslide robbed now hit wonder lined frankly chance",3,"Positif"
"464",464,"katie hobbs won matter election denial scheme laketrump cooked maralago trump actively plotting steal midterm elections next presidential trump scheming challenge elections dont way ",-1,"Negatif"
"465",465," new smartphone banned federal govt will produce alternative human donald general elections",0,"Netral"
"466",466," katie hobbs won matter election denial scheme laketrump cooked maralago trump actively plotting steal midterm elections next presidential trump scheming challenge elections dont way ",-1,"Negatif"
"467",467," governor christie donald trump wins nomination will still vote absolutely tucker",1,"Positif"
"468",468," just kanye west asks donald trump vice president run trump screaming fit rapper says ",-1,"Negatif"
"469",469," welcome back uncle donald trump god bless america",1,"Positif"
"470",470," judge compel trumpgive dna test carrolls lawsuit wont matterr voters ccourt finds trump raped carroll gop will literally rapist top ticket effectively doom entire party ",0,"Netral"
"471",471," lawsuit trump big deal likely presidential candidate sued rape ",-1,"Negatif"
"472",472," donalds first tweet january boy thanks elon allowing trump lose election easily twitter ",-1,"Negatif"
"473",473," love video crew donald trump ron desantis wins presidency trump effect just dems will help preserve constitutional republic",3,"Positif"
"474",474,"rapper kanye west revealed asked president donald trump running mate ",0,"Netral"
"476",476," desantis listening courting deep state im president donald trump way president trump power can save country",0,"Netral"
"477",477,"donald trump ron desantis will run presidential elections ",0,"Netral"
"478",478," hold american help way starting jan republicans will help take back america take back white house donald trump",0,"Netral"
"479",479,"kanye west asks trump running mate presidential bid ",0,"Netral"
"480",480,"elon musk says will back trump rival ron desantis runs president thatll show donald rebuking twitter ",-1,"Negatif"
"481",481," source familiar dinner conversation dinner grew heated announced run president thursday asked trump running mate ",0,"Netral"
"482",482,"praying president donald trump reelected president ",0,"Netral"
"484",484,"will republican candidates public office want donald trumps endorsement ",0,"Netral"
"485",485," high crap tll rig like win rapper known asked donald trump running gop nomination running mate white house bid ",1,"Positif"
"486",486,"trump first republican announce presidential bid definitely wont last ",0,"Netral"
"487",487," started screaming telling im going lose kanye west reveals president donald trump hurled abuses kim kardashian rapper suggested vp winning elections ",0,"Netral"
"488",488,"rumors occur president donald trumps ",0,"Netral"
"489",489," republican primary look forward fights trumptheir debate will insane held padded roomin straight jackets kanye west says donald trump hurled insults kim kardashian ",-1,"Negatif"
"490",490,"kanye west says donald trump screamed dinner maralago telling will lose runs president trumps goal dismantle lost proof ",-2,"Negatif"
"491",491,"brilliant trump insider unnerved hell sabotage campaign impulsive new hires ",-2,"Negatif"
"492",492,"donald trump dined white nationalist maralago home president dined conversed nick fuentes kanye west week announcing presidential campaign ",0,"Netral"
"493",493,"twitters owner unexpected political views elon musk support donald trumps arch rival ron desantis florida governor run president ",0,"Netral"
"494",494," trump loses nomination believe donald trump will gracious loser hed bow support nominee bested ",1,"Positif"
"495",495,"elon musk says will back donald trump rival ron desantis runs president twitter tesla chief says prefers sensible centrist disappointed democrats far ",0,"Netral"
"496",496,"elon musk announced support ron desantis republican opponent president donald trump runs president ",0,"Netral"
"497",497,"poll donald trump holds point lead gop primary field ",0,"Netral"
"498",498,"elon musk says will back donald trump rival runs forpresident ",-1,"Negatif"
"499",499," day commission donald trump milions votes confidents families tv votes social medias votes economy votes republicans will declares winning vote confidence president trump presidential primaries ",0,"Netral"
"501",501," expresident donald trump asking help campaign ",0,"Netral"
"504",504," rapper hinted hell running presidential elections wants president running mate ",0,"Netral"
"505",505," politics cray cray ",0,"Netral"
"506",506,"kanye west says donald trump screamed dinner maralago telling will lose runs president scoontv ",-1,"Negatif"
"507",507,"kanye west says donald trump screamed dinner maralago telling will lose runs president yahoo news ",-1,"Negatif"
"510",510,"elon musk support donald trumps arch rival ron desantis florida governor run president yes musk tweet asked support desantis suggesting hadnt found ideal candidate democrats",3,"Positif"
"511",511,"donald trump reason keep abortion legal ",1,"Positif"
"513",513,"well least doubt elon musk support donald trumps arch rival ron desantis florida governor run president ",1,"Positif"
"514",514,"funny know trump will allowed win democrats cheating fair square noted resort nefarious means know will president donald trump ",-1,"Negatif"
"515",515,"musk says hed back desantis president makes run republicans need open new chapter donald trump ",0,"Netral"
"516",516," now mega maga mr president donald trump ",0,"Netral"
"517",517," still believe rapperye known askanye west asked presidentdonald trump running mate thanksgiving evening ",1,"Positif"
"518",518,"billionaire will back florida governor republican runs president ",0,"Netral"
"519",519," donald trump multibillionaire still seeking campaign funds campaign supporters washing dirty linens just disgraced showing dont know ideal election campaign suppose ",-1,"Negatif"
"520",520,"president donald miss funny tshirt unisex full size buy ebay",0,"Netral"
"521",521,"president donald miss funny unisex full size buy ebay",0,"Netral"
"522",522," donald jtrump president usa ",0,"Netral"
"523",523,"kanye west donald trump discussed sharing presidential ticket ",0,"Netral"
"524",524," donald trump definition corrupt politician guarantee donald trump will absolutely lose presidential election betrayed government disgraceful traitor country ",0,"Netral"
"525",525,"donald trump feels real danger kanye west presidential elections ",0,"Netral"
"526",526,"found youtube kanye west run president asks donald trump vice president wion ",0,"Netral"
"527",527,"elon musk support donald trumps arch rival ron desantis florida governor run president ",1,"Positif"
"528",528,"stupidity will soon loose fortune ",-1,"Negatif"
"529",529," support donald trumps arch rival florida governor run president preference presidency sensible centrist ",2,"Positif"
"530",530," day aka kanye west visited donald trump asked running mate election thats bold move god give confidence",0,"Netral"
"531",531,"kanye west confirms presidential campaign asks donald trump runningmate ",0,"Netral"
"533",533,"donald trump feels real danger kanye west presidentialelection ",0,"Netral"
"534",534,"twitters new boss elon musk announces support president donald trumps republican rival ron desantis run president ",0,"Netral"
"535",535,"dumb dumber redux ",0,"Netral"
"536",536,"kanye west says donald trump screamed dinner maralago telling will lose runs president yeah right west threat trump pathetic pinocchio left fake news media wont try",-3,"Negatif"
"537",537," decent lifestyle united states president donald trump can consider giving appointment returns presidency love kenye west just close qualified president like ambition",4,"Positif"
"538",538,"donald trump sadly counted vanity fair ",0,"Netral"
"539",539," guys think donald trump going win ",1,"Positif"
"540",540," think donald trump going win ",1,"Positif"
"541",541,"donald trump sees kanye west threat presidentialelections ",0,"Netral"
"542",542," words choices will like wannabe dictator donald trump will lose says chief staff republican democrat ",1,"Positif"
"544",544," im tell donald trump will voting third time wearing maga hat rallies proud latino american trump ",1,"Positif"
"545",545," presidential candidate vp running mate donald trump gracious extend opportunity mr trump failure midterms huge failure like bad disgrace bad ",1,"Positif"
"546",546,"elon musk shows true colors elon musk support donald trumps archrival ron desantis florida governor run president fascist candidates ron desantis extreme views ",0,"Netral"
"547",547,"idiot rapper kanye says trump yelled see news gt ",0,"Netral"
"549",549,"trump insider unnerved hell sabotage campaign impulsive new hires raw story celebrating years independent journalism ",-2,"Negatif"
"550",550," coming woke sicko democrat carlson tucker loves america exposing decadence liberalism eats liberals ron desantis donald trump ",0,"Netral"
"551",551,"kanye west says trump screamed potential run ",0,"Netral"
"552",552," desantis president just bad donald trump just trump minime ",-1,"Negatif"
"553",553,"musk says will support desantis florida governor runs president new kid watch president donald trump ",1,"Positif"
"554",554," youre holding breath youll ass president donald trump coming clean swamp ron tim tulsi side ",1,"Positif"
"555",555," presidential elections elon musk says will back donald trump rival ron desantis runs president ",0,"Netral"
"556",556,"commentary sake democracy welcome donald trump back twitter ",1,"Positif"
"557",557," stories donald trump change seconds hes coning clean swamp thats ",1,"Positif"
"558",558,"kanye west says donald trump screamed dinner maralago telling will lose runs forpresident ",-1,"Negatif"
"560",560,"attn republican party continue hitching orange white supremacist democrats will gladly take house back donald trump dined white nationalist holocaust denier nick fuentes politico ",1,"Positif"
"561",561,"elon musk says will back trump rival ron desantis runs president billionaire says prefers sensible centrist disappointed democrats far elon musk support donald tru",1,"Positif"
"562",562," kind agree elons choice bc repeat satan aka donald trump aka putins puppet ",1,"Positif"
"563",563," mad men world donald trump announces run president read now free ",0,"Netral"
"564",564," yo yo takes swipe donald trump first presidential campaign video ",-1,"Negatif"
"565",565," latest data shows gop voters seen read heard president donald trumps campaign launch ",0,"Netral"
"566",566," election day anxiety mounted potential chaos polls election officials warned poll watchers steeped conspiracy theories falsely claiming thenpresident donald trump actually lose ",-6,"Negatif"
"567",567," doesnt know dont sit table knew wants support president donald trump distanced friday prethanksgiving dinner maralago club florida known kanye west",1,"Positif"
"568",568,"kanye west asks donald trump vicepresident ",0,"Netral"
"569",569,"trump insider unnerved hell sabotage campaign impulsive new hires ",-2,"Negatif"
"570",570,"donald trumps campaign ad show republican friends ",0,"Netral"
"571",571," twin idiots ",0,"Netral"
"572",572,"kanye west claims trump screamed hed lose presidential run maralago dinner ",-1,"Negatif"
"573",573," great wait im excited donated best candidate dems elected donald trump",2,"Positif"
"574",574,"lets brandon holiday christmas gifts apparel tshirts home decor decorations protrump president donald trump gifts lets brandon signs ornaments wrapping paper gifts men dad husband wife ",0,"Netral"
"575",575," thats true true donald trump using entire maga deplorables known certified fascist rerun may god bless america ",1,"Positif"
"576",576,"antisemite asked trump running mate showed maralago holocaust denier white supremacist fuentes ticket purgatory ",0,"Netral"
"577",577,"awww daddy angry thh baby rapper known asked donald trump running gop nomination running mate white house bid ",-1,"Negatif"
"578",578,"god help america double trouble rapper fashion designer kanye west suggested will run president wants donald trump running mate ",0,"Netral"
"579",579," donald trump earned vote gave lavish lifestyle fight fight survival republic trump ",3,"Positif"
"580",580," kanye west run president asks donald trump vice president watch video ",0,"Netral"
"581",581,"kanye west says asked donald trump presidential runningmate ",0,"Netral"
"582",582,"candidates president republican primary donald trump corey stapleton",0,"Netral"
"583",583," hey occupy democrats life quit spewing lies lies president donald trump trump ",-2,"Negatif"
"584",584," spotted flying economy kanye west posted first presidential election campaign video short video mentioned president donald trump running mate views rapper kanye west busy man ",0,"Netral"
"585",585," rapper twitter video posted thursday evening mentioned campaign recent meeting donald trump maralago property florida ",0,"Netral"
"586",586," kanye west run president asks donald trump vic ",0,"Netral"
"587",587," asked trump running mate president perturbed asking vice president think lower list caught guard ",-2,"Negatif"
"588",588,"new post donald trump kanye wests running mate election read ",0,"Netral"
"589",589," agdoj going donald trump crime now hes running president ",-1,"Negatif"
"590",590," twitter cause elon musk now reinstated free speech donald trump ",1,"Positif"
"592",592," bet kamala harris donald trump harris highestranking woman political history prosecutor whos powerful congressional committee senate intelligence checks identity politics boxes can hold verbally sparring trump",1,"Positif"
"593",593,"ivanka best part donald shes hot beautiful brilliant true leaderthe greatest donald brought world wants campaign says time sun set donald trump era ",2,"Positif"
"594",594,"kanye touch asked donald trump running mate vice president ",0,"Netral"
"595",595," asked support ron desantis elon musk answers yes asked support donald trump elon musk answersyes",2,"Positif"
"596",596,"history repeats ",0,"Netral"
"597",597,"donald trump faced new backlash emerged dined americas prominent white supremacists maralago estate week just days announcing new bid white house ",1,"Positif"
"598",598," libs president donald trump wins election ",1,"Positif"
"599",599," rapper interview asked president donald trump running mate trump just announced candidacy turned ",0,"Netral"
"600",600," im voting donald trump president ",0,"Netral"
"601",601,"prediction donald trump dies shart attack kanye republican party nomination",-2,"Negatif"
"602",602,"kanye west ask donald trump vp presidential race ",0,"Netral"
"603",603," th president donald trump overwhelming support republican voters pitted florida governor ron desantis republican presidential nomination new poll conducted emerson college revealed trump advantage eligible voters",1,"Positif"
"605",605,"kanye west announces presidential bid call christian theocracy embattled rapperdesigner gave details maralago dinner donald trump drag president ",-2,"Negatif"
"606",606," rats jumping ship donald trump loses billionaire donor time social media platform elon musk will support trumps arch rival governor ron desantis florida governor decide run president ",0,"Netral"
"607",607," matter people run republican primary theres person running trump thats donald trump thats person beat just let old man eat just circus town doesnt mean ",0,"Netral"
"609",609,"usa midterms free feared chaos voting experts look ",0,"Netral"
"610",610,"ivanka trump donald trump jr absent fathers campaign launch family members attended event ",0,"Netral"
"611",611," donald trump will president desantis ",0,"Netral"
"612",612,"donald trump will lose says chief staff republican democrat ",0,"Netral"
"613",613," aided rapper donald trump president years old hes younger predecessor according trump voters john kennedy jr dead actual vicepresident verified twitter account",0,"Netral"
"614",614," thats crazy activism young voters stronger unseat incumbent like biden proves people hated donald trump will lose red wave turned pink squirt proof",1,"Positif"
"615",615,"humor second maga presents president donald trump vice president kanye west can imagine collaboration ",0,"Netral"
"616",616," million people least voted donald trump id say im pretty company january filled close million patriots people followed fbi irritators capital people jail trial trump god bless america",3,"Positif"
"617",617,"donald trump made announcement running president ",0,"Netral"
"618",618," months im still saying donald trump will nominee just wont cheers",0,"Netral"
"619",619," attorney general bill barr discussed donald trumps campaign trumps narcissism means unable accept losing gop nomination race barr trump loyalist recently turned exboss ",-2,"Negatif"
"620",620," words kanye west says asked donald trump running mate maralago visit ",0,"Netral"
"621",621," grateful donald trump will president ",1,"Positif"
"622",622," rapperye known askanye west asked presidentdonald trump running mate thanksgiving evening rob",1,"Positif"
"624",624,"breaking chris christie slams trump meeting nick fuentes just example awful lack judgment donald trump combined past poor judgments untenable general election candidate republican party ",-4,"Negatif"
"625",625," aka kanye west president donald trump runs president will lose ",0,"Netral"
"626",626,"wildly inaccurate checker rips trumps absurd lies announcement ",-1,"Negatif"
"627",627,"andy vermaut sharesmusk says will support desantis runs president political pundits doling high marks desantis seen potential challenger president donald trump field republican thank ",1,"Positif"
"629",629," shaping awesome year breathing dying gasps next years going trainwreck slow motion ",-1,"Negatif"
"630",630," times impeached insurrectionist traitor donald dumb need jail trump jail ",-1,"Negatif"
"631",631,"kanye west confirmed will run president question donald trump made scream ",0,"Netral"
"632",632,"elon musk just support ron desantis think can safely assume donald trump wont tweeting time soon",2,"Positif"
"633",633,"kanye west says donald trump yelled dinner maralago telling lose ran forpresident ",-1,"Negatif"
"634",634,"midterms free feared chaos voting experts look associated press ",0,"Netral"
"635",635,"donald trumps plans will uncovered earlier ",0,"Netral"
"637",637," knew roger stone kanye west sh show confirmed october piece longtime protege jack posobiec ",0,"Netral"
"638",638," just example awful lack judgment donald trump combined past poor judgments untenable general election candidate republican party ",-4,"Negatif"
"639",639,"kanye west announces presidential bid asks donald trump running mate read full article ",0,"Netral"
"641",641,"yall worried joe biden president donald trump democrat republican russia ukraine kyrie bogus biased media israel palestine black white yall worried gpt will agi",-4,"Negatif"
"642",642," will support donald trump ",1,"Positif"
"643",643," kanye asked donald trump running mate funny wasnt dead whats happened allowing people play games presidency need qualification laws presidency smdh ",-2,"Negatif"
"644",644,"kanye west says donald trump screamed dinner maralago telling will lose runs president jackasses america smh ",-1,"Negatif"
"645",645," still wrap mind donald trump dinner kanye west whole ass nazi last night hes still best shot republicans right now ",2,"Positif"
"646",646," support donald trump nominee",1,"Positif"
"647",647,"president donald trump miss political shirt order ",-1,"Negatif"
"648",648,"bestmaple donald trump cap camouflage usa flag baseball caps take america back snapback president hat vvurq ",0,"Netral"
"650",650," darling due respect ron de santis going republican presidential candidatedonald john trump going th president united states america ",1,"Positif"
"651",651," amount confidence ask donald trump vice president trump office ludicrous fr ",1,"Positif"
"652",652," donald trump will ballot",0,"Netral"
"654",654," calmer election day jurisdictions across initially anticipated objectively midterms free feared chaos voting experts look ap news ",1,"Positif"
"655",655,"radar can pathetic yes can proof claimed asked donald trump running mate ",0,"Netral"
"656",656," come will vote donald trump ron desantis nb republican party worried will split antisemitic vote",-2,"Negatif"
"658",658," wait november can put right man back office donald trump",1,"Positif"
"661",661," liberals republicans independents maga patriots register democrat democratic primary can vote joe biden dem pres candidate register republicans vote donald trump ",0,"Netral"
"662",662,"lowry richard journalist victimhood status conservatives disdain context trump advantage ",-1,"Negatif"
"663",663,"elon musk says twitter bankruptcy possibility heres ",0,"Netral"
"664",664,"donald trump sadly counted diminished eliminated possible republican nominee molly jongfast ",0,"Netral"
"665",665,"watch donald trump announces bid presidency ",0,"Netral"
"667",667,"kanye west asks donald trump vice president run trump screaming fit rapper says hysterical sad part hes mind ",-2,"Negatif"
"668",668," agree still bet name donald trump will presidential ballot",0,"Netral"
"669",669,"kanye west asks donald trump vice president run trump screaming fit rapper says rpolitics ",-1,"Negatif"
"670",670," people dont know theyre like toilet paper kanye west says donald trump screamed dinner maralago telling will lose runs president ",0,"Netral"
"671",671," national morning consultpolitico poll released wednesday showed president donald trump point lead florida gov ron desantis republican primary presidential matchup ",1,"Positif"
"672",672," totally agreehave saying weeks name donald trump will presidential ballot",0,"Netral"
"673",673,"kanye west says donald trump screamed dinner maralago telling will lose runs president wouldnt nice republicans find grownups run president usa ",0,"Netral"
"674",674,"yes yes yes yes god bless donald trump best president ",2,"Positif"
"675",675," yeah",0,"Netral"
"676",676," laketrump cooked baseless election denial scheme maralago trump actively plotting steal midterm elections next presidential trump scheming challenge elections dont way ",-2,"Negatif"
"677",677," agree donald trump greatest will loos election popular may think running will happen cared fix problem scared talking ",0,"Netral"
"679",679,"kanye west says trump screamed presidential run maralago dinner ",0,"Netral"
"680",680," controversy exploded last weeks articlestrump run president think will support andchristians trump pence powerful intriguing interview emotions hot hot donald trump announced ",0,"Netral"
"681",681," arrogance dude phenomenal kanye president donald trump screamed dinner maralago asked vp trump told lose ",-2,"Negatif"
"682",682," thank katie hobbs heard dethroned marjorie now donald trumps running mate vp ",1,"Positif"
"683",683,"yes katie hobbs matter election denial scheme laketrump cooked mal trump actively plotting steal midterm elections next presidential trump scheming challenge elections dont way ",-1,"Negatif"
"685",685," yes katie hobbs matter election denial scheme laketrump cooked mal trump actively plotting steal midterm elections next presidential trump scheming challenge elections dont way ",-1,"Negatif"
"686",686,"donald trump kanye west declared intent run presidency political intellect longer prerequisite american politics mind boris johnson liz truss question ",0,"Netral"
"687",687,"donald trump believes hispanic voters going give white house keeps saying levels record levels want white house blue ",0,"Netral"
"688",688,"kanye announces run donald trump presidential nomination popcorn futures explode ",-1,"Negatif"
"689",689,"ketchup flying kayne west rapper think trump perturbed asking vice president ",-2,"Negatif"
"690",690," manage denounce disavow nick fuentes fuentes met donald trump presumed rival republican party presidential nomination",-3,"Negatif"
"691",691,"now perfect time party conservatives reject donald trump writes certainly lose ",-1,"Negatif"
"692",692," donald trump republican candidate potus welcomed maralago dinner kanye west read benny johnson say alarming ",0,"Netral"
"693",693," yetrump ",0,"Netral"
"694",694," mister loser percent news media screen coverage goes donald trumps criminal mentality thats truth guarantee donald trump will absolutely lose presidential election check ",0,"Netral"
"695",695," wants run president president running mate rapper turned fashion designer recently declared intention run president read ",0,"Netral"
"697",697," biggest loser midterms donald trump winner means chance running presidential race will biden beat trump now twice ",0,"Netral"
"698",698," doubt knew kkk coming dinner doubt told kanye week west zero chance election doubt attendees chance election ",-3,"Negatif"
"699",699,"kanye west announces presidential bid beat donaldtrump ",0,"Netral"
"701",701,"newsaus president donald trump hosted white nationalist holocaust denier nick fuentes rapper kanye west maralago estate week ",0,"Netral"
"702",702," doesnt want sit donald set trump publicized debriefed old trump loyalists kicked curb asking trump didnt save pardon base january th suspect running trumping trump",0,"Netral"
"703",703," donald trump will continue dominate traditional politics may pure great politician iowa will key ",1,"Positif"
"704",704," moron donald trumps criminal believer satan king lies donald trump president lies guarantee donald trump will lose presidential election ",0,"Netral"
"706",706," can think donald trump redneck hillbilly maga hat trump plastered pickup truck",0,"Netral"
"707",707," narrator win later fail win vicepresidency donald trumps running mate ",0,"Netral"
"708",708," repeatedly backfired reason potent lines attack trump im wants desantis nominee wont takes ",-1,"Negatif"
"709",709,"gop republikkan culture victimhood ",0,"Netral"
"710",710,"kanye west asked donald trump presidential running mate well video declared candidacy ",0,"Netral"
"716",716,"chris christie declares trump unfit nominee white supremacist scandal mean fit apparently knew back mr chris article trump unfit presidency ",-1,"Negatif"
"720",720," president donald trump tuesday night dinner nick fuentes outspoken antisemite racist countrys prominent young white supremacists ",0,"Netral"
"721",721,"kanye west announced hes running president invited dinner donald trump mara lago showing unknown friends stated president trump started yelling asked trump vp running mate",-1,"Negatif"
"722",722,"kanye west announces presidential bid slam donaldtrump ",0,"Netral"
"723",723,"rapper yeformerly known kanye westhas acknowledged proposing president donald trump vice president hypothetical presidential ticket election ",-1,"Negatif"
"724",724," excellent idea nancy name ryan raise donald trump means impeachments away serving remainder biden stolen term full term thanks nancy inspiration",1,"Positif"
"725",725,"trump hosted holocaust skeptic nick fuentes maralago dinner kanye west meeting tuesday claimed asked trump running mate presidential election ",-1,"Negatif"
"726",726,"donald trumps fake campaign tanking palmer report ",-1,"Negatif"
"728",728,"donald trump just announced hes running president sign clear trump doesnt share christian values will votes gtgt ",1,"Positif"
"729",729,"kanye west signals white house run says trump screamed ",0,"Netral"
"730",730," yeah lifes wack still eat shit europoors ",-1,"Negatif"
"731",731,"donald trump sr ",0,"Netral"
"734",734,"medias red wave inaccurate prediction reveals outlets failed see comprehend rise donald trump beltway consensus completely disconnected actual circumstances american people ",-2,"Negatif"
"735",735,"kanye west donald trump teenage palestinian tragedy ",0,"Netral"
"738",738," donald trump wins ",1,"Positif"
"739",739,"midterms free feared chaos voting experts look ap news ",0,"Netral"
